Species	Phylum	Order	Genus	TaxID	Num_Prot	niacin_synthesis	nadB_niacin_asp	nadA_niacin_asp	nadC_niacin_asp	kmo_niacin_trp	hpaB_niacin_trp	kynu_niacin_trp	had_niacin_trp
Desulfovibrio cuneatus	Proteobacteria	Desulfovibrionales	Desulfovibrio	159728	2711	1	1	1	1	0	0	0	0
Rhizobacter sp. Root1221	Proteobacteria	Burkholderiales	Rhizobacter	1736433	11769	1	1	1	1	0	0	0	0
Rhizobium sp. Root1220	Proteobacteria	Rhizobiales	Rhizobium	1736432	10598	1	1	1	1	0	0	0	0
Nocardioides sp. Root122	Actinobacteria	Propionibacteriales	Nocardioides	1736431	8265	1	1	1	1	0	0	1	0
Pelomonas sp. Root1217	Proteobacteria	Burkholderiales	Pelomonas	1736430	11285	1	1	1	1	0	0	1	0
Rhizobium sp. Root1240	Proteobacteria	Rhizobiales	Rhizobium	1736437	4292	1	1	1	1	0	0	0	0
Afipia sp. Root123D2	Proteobacteria	Rhizobiales	Afipia	1736436	8643	1	1	1	1	0	1	0	0
Rhizobacter sp. Root1238	Proteobacteria	Burkholderiales	Rhizobacter	1736435	5721	1	1	1	1	0	0	1	0
Pelomonas sp. Root1237	Proteobacteria	Burkholderiales	Pelomonas	1736434	10911	1	1	1	1	0	0	1	0
Achromobacter sp. LC458	Proteobacteria	Burkholderiales	Achromobacter	1120623	11017	0	1	0	1	0	0	1	1
Nocardioides sp. Root1257	Actinobacteria	Propionibacteriales	Nocardioides	1736439	5144	1	1	1	1	0	0	1	0
Ensifer sp. Root1252	Proteobacteria	Rhizobiales	Ensifer	1736438	7042	1	1	1	1	1	1	1	0
Salinivibrio socompensis	Proteobacteria	Vibrionales	Salinivibrio	1510206	3799	1	1	1	1	0	0	0	0
beta proteobacterium CB	Proteobacteria	root	root	543913	4083	1	1	1	1	0	0	0	0
Moorella mulderi DSM 14980	Firmicutes	Thermoanaerobacterales	Moorella	1122241	3041	0	0	0	1	0	0	0	0
Nocardioides insulae	Actinobacteria	Propionibacteriales	Nocardioides	394734	3488	1	1	1	1	0	0	1	0
Methylogaea oryzae	Proteobacteria	Methylococcales	Methylogaea	1295382	2671	0	0	1	0	0	0	0	0
Prevotella sp. F0091	Bacteroidetes	Bacteroidales	Prevotella	1227276	5206	1	1	1	1	0	0	0	0
Amycolatopsis nigrescens	Actinobacteria	Pseudonocardiales	Amycolatopsis	381445	8294	1	1	1	1	1	1	1	0
Gilvimarinus polysaccharolyticus	Proteobacteria	Cellvibrionales	Gilvimarinus	863921	3165	1	1	1	1	0	0	0	0
Rhodomicrobium udaipurense	Proteobacteria	Rhizobiales	Rhodomicrobium	1202716	2960	1	1	1	1	0	0	0	0
candidate division SR1 bacterium RAAC1_SR1_1	root	root	root	1394709	2107	0	0	0	0	0	0	0	0
Paenibacillus sp. Soil522	Firmicutes	Bacillales	Paenibacillus	1736388	11096	1	1	1	1	0	0	0	0
Methylobacterium sp. Leaf465	Proteobacteria	Rhizobiales	Methylobacterium	1736385	6757	1	1	1	1	1	0	0	0
Aureimonas sp. Leaf460	Proteobacteria	Rhizobiales	Aureimonas	1736384	4937	1	1	1	1	1	0	0	0
Cellulosilyticum ruminicola	Firmicutes	Clostridiales	Cellulosilyticum	425254	3273	1	1	1	1	0	0	0	0
Methylobacterium sp. Leaf466	Proteobacteria	Rhizobiales	Methylobacterium	1736386	5874	1	1	1	1	0	0	0	0
Aureimonas sp. Leaf454	Proteobacteria	Rhizobiales	Aureimonas	1736381	8414	0	1	0	0	1	0	0	0
Rhizobium sp. Leaf453	Proteobacteria	Rhizobiales	Rhizobium	1736380	5838	1	1	1	1	0	0	0	0
Sphingomonas endophytica	Proteobacteria	Sphingomonadales	Sphingomonas	869719	6404	1	1	1	1	0	0	1	0
Methylobacterium sp. Leaf456	Proteobacteria	Rhizobiales	Methylobacterium	1736382	9805	1	1	1	1	0	0	0	0
Herbaspirillum lusitanum	Proteobacteria	Burkholderiales	Herbaspirillum	213312	3776	1	1	1	1	1	0	0	0
Cellulophaga sp. Hel_I_12	Bacteroidetes	Flavobacteriales	Cellulophaga	1249972	3362	0	1	0	1	1	0	1	1
Sinorhizobium sp. Sb3	Proteobacteria	Rhizobiales	Sinorhizobium	1358417	12240	1	1	1	1	0	1	1	0
Sinorhizobium sp. GL2	Proteobacteria	Rhizobiales	Sinorhizobium	1358416	11414	1	1	1	1	0	1	1	1
Sinorhizobium sp. GL28	Proteobacteria	Rhizobiales	Sinorhizobium	1358418	11962	1	1	1	1	1	1	1	0
Anaeromusa acidaminophila	Firmicutes	Selenomonadales	Anaeromusa	81464	2416	0	1	0	0	0	0	0	0
Paraoerskovia marina	Actinobacteria	Micrococcales	Paraoerskovia	545619	2521	1	1	1	1	0	0	0	0
Gallibacterium anatis	Proteobacteria	Pasteurellales	Gallibacterium	750	51341	0	1	0	0	0	0	0	0
Erwinia piriflorinigrans	Proteobacteria	Enterobacteriales	Erwinia	665097	3349	1	1	1	1	0	0	1	0
Lactobacillus helsingborgensis	Firmicutes	Lactobacillales	Lactobacillus	1218494	3149	0	1	0	0	0	0	0	0
Lactobacillus apinorum	Firmicutes	Lactobacillales	Lactobacillus	1218495	2546	0	1	0	0	0	0	0	0
Lactobacillus mellifer	Firmicutes	Lactobacillales	Lactobacillus	1218492	3230	0	1	0	0	0	0	0	0
Lactobacillus kullabergensis	Firmicutes	Lactobacillales	Lactobacillus	1218493	3505	0	1	0	0	0	0	0	0
haloalkaliphilic bacterium ACht6-1	Fibrobacteres	root	root	1008392	7373	1	1	1	1	0	0	0	0
Vibrio sp. B183	Proteobacteria	Vibrionales	Vibrio	1526762	8171	1	1	1	1	0	0	0	0
Pseudorhodobacter aquimaris	Proteobacteria	Rhodobacterales	Pseudorhodobacter	687412	3459	0	1	0	0	1	0	1	0
Cupriavidus sp. HPC(L)	Proteobacteria	Burkholderiales	Cupriavidus	1217418	8907	1	1	1	1	0	0	1	0
Frankia sp. DC12	Actinobacteria	Frankiales	Frankia	683315	5116	1	1	1	1	1	0	1	1
Flavobacteriales bacterium ALC-1	Bacteroidetes	Flavobacteriales	root	391603	6701	0	1	0	1	1	0	1	1
Stenotrophomonas sp. SKA14	Proteobacteria	Xanthomonadales	Stenotrophomonas	391601	7682	0	1	0	1	1	0	1	1
Brevundimonas sp. BAL3	Proteobacteria	Caulobacterales	Brevundimonas	391600	5874	1	1	1	1	0	0	0	0
Halobacteriovorax marinus	Proteobacteria	Bdellovibrionales	Halobacteriovorax	97084	3231	1	1	1	1	0	0	0	0
Candidatus Arthromitus sp. SFB-rat-Yit	Firmicutes	Clostridiales	Candidatus Arthromitus	1041504	2687	0	0	0	0	0	0	0	0
Citrobacter braakii	Proteobacteria	Enterobacteriales	Citrobacter	57706	13010	1	1	1	1	0	0	0	0
Citrobacter sp. KTE30	Proteobacteria	Enterobacteriales	Citrobacter	1169319	5573	1	1	1	1	0	0	0	0
Tsukamurella tyrosinosolvens	Actinobacteria	Corynebacteriales	Tsukamurella	57704	9670	1	1	1	1	1	1	0	0
Streptococcus orisratti	Firmicutes	Lactobacillales	Streptococcus	114652	2110	0	1	0	0	0	0	0	0
Pediococcus damnosus	Firmicutes	Lactobacillales	Pediococcus	51663	4662	0	0	0	0	0	0	0	0
Arthrobacter alpinus	Actinobacteria	Micrococcales	Arthrobacter	656366	6805	1	1	1	1	0	0	1	0
Actinomyces graevenitzii	Actinobacteria	Actinomycetales	Actinomyces	55565	3169	0	1	0	0	0	0	0	0
Aerococcus urinaeequi	Firmicutes	Lactobacillales	Aerococcus	51665	6235	0	1	0	0	0	0	0	0
Thalassospira permensis	Proteobacteria	Rhodospirillales	Thalassospira	680197	2947	0	1	0	1	1	0	1	0
Tetragenococcus halophilus	Firmicutes	Lactobacillales	Tetragenococcus	51669	4253	0	1	0	0	0	0	0	0
Thermoanaerobacter sp. X513	Firmicutes	Thermoanaerobacterales	Thermoanaerobacter	573062	2334	0	0	0	1	0	0	0	0
Frankia sp. CcI3	Actinobacteria	Frankiales	Frankia	106370	5118	1	1	1	1	1	1	0	0
Rhizobium sp. MGL06	Proteobacteria	Rhizobiales	Rhizobium	1496690	3725	0	1	0	0	0	0	1	0
Pseudoalteromonas sp. BSi20439	Proteobacteria	Alteromonadales	Pseudoalteromonas	420915	5091	1	1	1	1	0	0	1	0
Acinetobacter gyllenbergii	Proteobacteria	Pseudomonadales	Acinetobacter	134534	5331	1	1	1	1	0	0	1	0
Corynebacterium marinum	Actinobacteria	Corynebacteriales	Corynebacterium	349751	2412	1	1	1	1	1	0	0	0
Achromobacter insuavis	Proteobacteria	Burkholderiales	Achromobacter	1287735	4146	0	1	0	1	0	0	1	0
Micromonospora purpureochromogenes	Actinobacteria	Micromonosporales	Micromonospora	47872	5527	1	1	1	1	1	0	1	0
Pseudomonas lini	Proteobacteria	Pseudomonadales	Pseudomonas	163011	16491	1	1	1	1	0	1	0	0
Burkholderia sp. NRF60-BP8	Proteobacteria	Burkholderiales	Burkholderia	1637853	9167	1	1	1	1	0	0	1	0
Pseudomonas umsongensis	Proteobacteria	Pseudomonadales	Pseudomonas	198618	2628	0	0	0	0	1	0	1	0
Burkholderia sp. ABCPW11	Proteobacteria	Burkholderiales	Burkholderia	1637859	9215	1	1	1	1	0	0	1	0
Helicobacter sanguini	Proteobacteria	Campylobacterales	Helicobacter	1548018	4220	0	1	0	0	0	0	0	0
Rheinheimera sp. EpRS3	Proteobacteria	Chromatiales	Rheinheimera	1712383	3867	1	1	1	1	0	0	1	0
candidate division NC10 bacterium CSP1-5	candidate division NC10	root	root	1640516	2836	1	1	1	1	0	0	0	0
Arthrobacter sp. A3	Actinobacteria	Micrococcales	Arthrobacter	595593	7627	1	1	1	1	0	0	1	0
gamma proteobacterium HIMB55	Proteobacteria	Cellvibrionales	root	745014	4909	1	1	1	1	0	1	1	0
Deltaproteobacteria bacterium CSP1-8	Proteobacteria	root	root	1640514	2129	1	1	1	1	0	0	1	0
Bordetella avium	Proteobacteria	Burkholderiales	Bordetella	521	3476	0	1	0	1	0	0	1	0
Gammaproteobacteria bacterium MOLA455	Proteobacteria	Cellvibrionales	root	1411685	4596	1	1	1	1	1	0	1	0
Mesorhizobium sp. L103C131B0	Proteobacteria	Rhizobiales	Mesorhizobium	1287089	8465	1	1	1	1	0	1	1	0
Mesorhizobium sp. L103C119B0	Proteobacteria	Rhizobiales	Mesorhizobium	1287085	9190	1	1	1	1	0	1	1	0
Paenibacillus sp. Y412MC10	Firmicutes	Bacillales	Paenibacillus	481743	9474	1	1	1	1	0	1	0	0
Mesorhizobium sp. L103C120A0	Proteobacteria	Rhizobiales	Mesorhizobium	1287086	8422	1	1	1	1	0	1	1	0
Lachnospiraceae bacterium NC2004	Firmicutes	Clostridiales	root	1410626	2738	1	1	1	1	0	0	0	0
Altibacter lentus	Bacteroidetes	Flavobacteriales	Altibacter	1223410	2839	1	1	1	1	1	0	1	1
Propionibacterium avidum	Actinobacteria	Propionibacteriales	Propionibacterium	33010	5168	1	1	1	1	0	0	0	0
Propionibacterium granulosum	Actinobacteria	Propionibacteriales	Propionibacterium	33011	2468	1	1	1	1	0	0	0	0
Propionimicrobium lymphophilum	Actinobacteria	Propionibacteriales	Propionimicrobium	33012	2822	0	1	0	1	0	0	0	0
Lactobacillus kimchicus	Firmicutes	Lactobacillales	Lactobacillus	528209	2428	0	1	0	0	0	0	0	0
Mycobacterium canettii	Actinobacteria	Corynebacteriales	Mycobacterium	78331	13074	1	1	1	1	0	0	0	0
Sporolactobacillus laevolacticus	Firmicutes	Bacillales	Sporolactobacillus	33018	3342	0	1	0	0	0	1	0	0
Acetobacter nitrogenifigens	Proteobacteria	Rhodospirillales	Acetobacter	285268	3576	1	1	1	1	1	1	0	0
Pseudomonas sp. 250J	Proteobacteria	Pseudomonadales	Pseudomonas	1478142	9846	1	1	1	1	1	0	0	0
Pseudomonas sp. RIT357	Proteobacteria	Pseudomonadales	Pseudomonas	1470593	10513	1	1	1	1	0	0	1	0
Exiguobacterium sp. RIT341	Firmicutes	Bacillales	Exiguobacterium	1470592	4935	1	1	1	1	0	0	1	0
Sphingomonas sp. RIT328	Proteobacteria	Sphingomonadales	Sphingomonas	1470591	7741	1	1	1	1	0	0	1	0
Stenotrophomonas sp. RIT309	Proteobacteria	Xanthomonadales	Stenotrophomonas	1470590	6449	0	1	0	1	1	0	1	1
Pseudomonas chlororaphis	Proteobacteria	Pseudomonadales	Pseudomonas	587753	69455	1	1	1	1	0	1	1	0
Vibrio ezurae	Proteobacteria	Vibrionales	Vibrio	252583	3007	1	1	1	1	0	0	0	0
Desulfotomaculum gibsoniae	Firmicutes	Clostridiales	Desulfotomaculum	102134	4287	1	1	1	1	0	0	0	0
Renibacterium salmoninarum	Actinobacteria	Micrococcales	Renibacterium	1646	2737	1	1	1	1	0	0	0	0
Butyrivibrio sp. CAG:318	Firmicutes	Clostridiales	Butyrivibrio	1262761	2126	0	0	0	0	0	0	0	0
Listeria seeligeri	Firmicutes	Bacillales	Listeria	1640	8283	1	1	1	1	0	0	0	0
Listeria welshimeri	Firmicutes	Bacillales	Listeria	1643	2687	0	1	0	0	0	0	0	0
Listeria innocua	Firmicutes	Bacillales	Listeria	1642	15879	1	1	1	1	0	0	0	0
Clostridium sp. CAG:1013	Firmicutes	Clostridiales	Clostridium	1262769	2436	0	0	0	0	0	0	0	0
Erysipelothrix rhusiopathiae	Firmicutes	Erysipelotrichales	Erysipelothrix	1648	3119	0	0	0	0	0	0	0	0
Aneurinibacillus tyrosinisolvens	Firmicutes	Bacillales	Aneurinibacillus	1443435	5305	0	1	0	1	0	1	1	0
Cupriavidus taiwanensis	Proteobacteria	Burkholderiales	Cupriavidus	164546	14547	1	1	1	1	0	0	1	0
Vibrio splendidus	Proteobacteria	Vibrionales	Vibrio	29497	66810	1	1	1	1	0	0	0	0
Ideonella sp. B508-1	Proteobacteria	Burkholderiales	Ideonella	137716	4109	1	1	1	1	0	0	1	0
Vibrio navarrensis	Proteobacteria	Vibrionales	Vibrio	29495	24970	1	1	1	1	0	0	0	0
Vibrio furnissii	Proteobacteria	Vibrionales	Vibrio	29494	15749	1	1	1	1	0	0	0	0
Klebsiella pneumoniae	Proteobacteria	Enterobacteriales	Klebsiella	573	2014214	1	1	1	1	0	1	0	0
Klebsiella oxytoca	Proteobacteria	Enterobacteriales	Klebsiella	571	171134	1	1	1	1	0	1	0	0
Vibrio tubiashii	Proteobacteria	Vibrionales	Vibrio	29498	12229	1	1	1	1	0	0	0	0
Raoultella terrigena	Proteobacteria	Enterobacteriales	Raoultella	577	4523	1	1	1	1	1	1	0	0
Raoultella planticola	Proteobacteria	Enterobacteriales	Raoultella	575	14261	1	1	1	1	0	1	0	0
Corynebacterium sp. KPL1855	Actinobacteria	Corynebacteriales	Corynebacterium	1203562	2340	1	1	1	1	0	0	0	0
Corynebacterium sp. KPL1856	Actinobacteria	Corynebacteriales	Corynebacterium	1203563	2329	1	1	1	1	0	0	0	0
Corynebacterium sp. KPL1821	Actinobacteria	Corynebacteriales	Corynebacterium	1203560	2334	1	1	1	1	0	0	0	0
Corynebacterium sp. KPL1824	Actinobacteria	Corynebacteriales	Corynebacterium	1203561	3754	1	1	1	1	0	0	0	0
Corynebacterium sp. KPL1859	Actinobacteria	Corynebacteriales	Corynebacterium	1203566	2395	1	1	1	1	0	0	0	0
Corynebacterium sp. KPL1860	Actinobacteria	Corynebacteriales	Corynebacterium	1203567	2333	1	1	1	1	0	0	0	0
Corynebacterium sp. KPL1857	Actinobacteria	Corynebacteriales	Corynebacterium	1203564	2344	1	1	1	1	0	0	0	0
Pseudoalteromonas tunicata	Proteobacteria	Alteromonadales	Pseudoalteromonas	314281	4159	1	1	1	1	1	0	0	0
Dermabacter sp. HFH0086	Actinobacteria	Micrococcales	Dermabacter	1203568	3725	0	0	0	0	0	0	0	0
Vitreoscilla sp. SN6	Proteobacteria	Neisseriales	Vitreoscilla	1689272	3486	1	1	1	1	0	0	1	1
Lysinibacillus sphaericus	Firmicutes	Bacillales	Lysinibacillus	1421	33035	1	1	1	1	0	1	0	1
Bacillus subtilis	Firmicutes	Bacillales	Bacillus	1423	216888	1	1	1	1	1	1	1	1
Geobacillus stearothermophilus	Firmicutes	Bacillales	Geobacillus	1422	35574	1	1	1	1	0	1	0	0
Geobacillus thermoglucosidasius	Firmicutes	Bacillales	Geobacillus	1426	10065	1	1	1	1	0	1	0	0
Bacillus thuringiensis	Firmicutes	Bacillales	Bacillus	1428	145693	1	1	1	1	0	1	1	1
Knoellia flava	Actinobacteria	Micrococcales	Knoellia	913969	3188	1	1	1	1	0	0	1	0
Shewanella sp. ECSMB14102	Proteobacteria	Alteromonadales	Shewanella	1579504	3402	1	1	1	1	0	0	1	0
Lachnospiraceae bacterium TWA4	Firmicutes	Clostridiales	root	1392836	5557	1	1	1	1	0	0	0	0
gamma proteobacterium HIMB30	Proteobacteria	root	root	751994	2178	1	1	1	1	0	0	0	0
Roseateles depolymerans	Proteobacteria	Burkholderiales	Roseateles	76731	9347	1	1	1	1	0	0	1	0
Corynebacterium resistens	Actinobacteria	Corynebacteriales	Corynebacterium	258224	2034	1	1	1	1	0	0	0	0
Mangrovimonas yunxiaonensis	Bacteroidetes	Flavobacteriales	Mangrovimonas	1197477	4671	1	1	1	1	1	0	1	1
Burkholderia sp. LA-2-3-30-S1-D2	Proteobacteria	Burkholderiales	Burkholderia	1637862	11364	1	1	1	1	1	0	1	0
Haloglycomyces albus	Actinobacteria	Glycomycetales	Haloglycomyces	526067	2993	1	1	1	1	0	0	0	0
Parvibaculum lavamentivorans	Proteobacteria	Rhizobiales	Parvibaculum	256618	3522	1	1	1	1	0	1	0	0
Gordonia kroppenstedtii	Actinobacteria	Corynebacteriales	Gordonia	1121721	3817	1	1	1	1	0	0	0	0
Armatimonadetes bacterium OLB18	Armatimonadetes	root	root	1617424	2628	1	1	1	1	0	0	0	0
Bacteroidetes bacterium OLB11	Bacteroidetes	root	root	1617422	2121	1	1	1	1	0	0	0	0
Acidobacteria bacterium OLB17	Acidobacteria	root	root	1617423	2914	1	1	1	1	1	0	1	1
Bacteroidetes bacterium OLB9	Bacteroidetes	root	root	1617420	2628	0	1	0	1	0	0	0	0
Bacteroidetes bacterium OLB10	Bacteroidetes	root	root	1617421	2555	0	1	1	0	1	0	1	1
Clostridium sp. CAG:729	Firmicutes	Clostridiales	Clostridium	1262835	2019	1	1	1	1	0	0	0	0
Clostridium sp. CAG:75	Firmicutes	Clostridiales	Clostridium	1262836	2285	1	1	1	1	0	0	0	0
Clostridium sp. CAG:678	Firmicutes	Clostridiales	Clostridium	1262831	2249	1	1	1	1	0	0	0	0
Clostridium sp. CAG:632	Firmicutes	Clostridiales	Clostridium	1262830	2229	0	0	0	0	0	0	0	0
Clostridium sp. CAG:7	Firmicutes	Clostridiales	Clostridium	1262832	2910	0	1	0	0	0	0	0	0
Nocardia higoensis	Actinobacteria	Corynebacteriales	Nocardia	228599	5894	1	1	1	1	1	0	0	0
Aureimonas altamirensis	Proteobacteria	Rhizobiales	Aureimonas	370622	12077	1	1	1	1	1	0	0	0
Marinagarivorans algicola	Proteobacteria	Cellvibrionales	Marinagarivorans	1513270	4984	1	1	1	1	0	0	0	0
Gammaproteobacteria bacterium Q1	Proteobacteria	root	root	1513271	7070	1	1	1	1	0	0	0	0
Sphingobium chinhatense IP26	Proteobacteria	Sphingomonadales	Sphingobium	1346790	5702	1	1	1	1	0	1	0	0
Microchaete sp. PCC 7126	Cyanobacteria	Nostocales	Microchaete	643473	4887	1	1	1	1	0	0	0	0
Citromicrobium sp. JL1351	Proteobacteria	Sphingomonadales	Citromicrobium	1629596	2965	1	1	1	1	0	0	1	0
Citromicrobium sp. JL2201	Proteobacteria	Sphingomonadales	Citromicrobium	1629595	3260	1	1	1	1	0	0	1	0
Candidatus Brocadia sinica	Planctomycetes	Candidatus Brocadiales	Candidatus Brocadia	795830	7236	1	1	1	1	0	0	0	0
Pseudomonas gingeri	Proteobacteria	Pseudomonadales	Pseudomonas	117681	6045	1	1	1	1	0	0	0	0
Streptomyces emeiensis	Actinobacteria	Streptomycetales	Streptomyces	382503	3355	0	1	1	0	1	1	1	0
Nocardia jinanensis	Actinobacteria	Corynebacteriales	Nocardia	382504	4219	1	1	1	1	1	0	0	0
Azotobacter vinelandii	Proteobacteria	Pseudomonadales	Azotobacter	354	7625	1	1	1	1	0	0	0	0
Azotobacter chroococcum	Proteobacteria	Pseudomonadales	Azotobacter	353	4384	1	1	1	1	0	0	0	0
Rhodocyclaceae bacterium Paddy-1	Proteobacteria	Rhodocyclales	root	1691980	2990	1	1	1	1	0	0	0	0
Agrobacterium rhizogenes	Proteobacteria	Rhizobiales	Agrobacterium	359	32543	1	1	1	1	1	1	1	0
Agrobacterium tumefaciens	Proteobacteria	Rhizobiales	Agrobacterium	358	90719	1	1	1	1	1	0	0	1
Vibrio galatheae	Proteobacteria	Vibrionales	Vibrio	579748	7156	1	1	1	1	0	0	0	0
Acinetobacter equi	Proteobacteria	Pseudomonadales	Acinetobacter	1324350	5364	1	1	1	1	0	0	0	0
Chryseobacterium gallinarum	Bacteroidetes	Flavobacteriales	Chryseobacterium	1324352	6634	1	1	1	1	0	0	0	0
Frankia sp. Thr	Actinobacteria	Frankiales	Frankia	981426	5009	1	1	1	1	1	1	0	0
Lysobacter defluvii	Proteobacteria	Xanthomonadales	Lysobacter	391738	2652	0	1	0	1	1	0	1	1
Marinovum algicola	Proteobacteria	Rhodobacterales	Marinovum	42444	4671	1	1	1	1	0	0	1	0
Roseobacter litoralis	Proteobacteria	Rhodobacterales	Roseobacter	42443	4344	0	1	0	1	0	0	1	0
Chromohalobacter salexigens	Proteobacteria	Oceanospirillales	Chromohalobacter	158080	2418	1	1	1	1	0	0	0	0
Reinekea blandensis	Proteobacteria	Oceanospirillales	Reinekea	374838	4036	1	1	1	1	0	0	0	0
Rhodococcus sp. HA99	Actinobacteria	Corynebacteriales	Rhodococcus	402289	3494	0	1	0	0	1	1	0	0
Gorillibacterium massiliense	Firmicutes	Bacillales	Gorillibacterium	1280390	4732	1	1	1	1	0	0	0	0
Ponticoccus sp. UMTAT08	Proteobacteria	Rhodobacterales	Ponticoccus	1515334	11209	1	1	1	1	0	1	1	0
Sulfurihydrogenibium sp. YO3AOP1	Aquificae	Aquificales	Sulfurihydrogenibium	436114	3567	1	1	1	1	0	0	0	0
Phaeobacter inhibens	Proteobacteria	Rhodobacterales	Phaeobacter	221822	12454	1	1	1	1	0	0	1	1
Agarivorans albus	Proteobacteria	Alteromonadales	Agarivorans	182262	4109	1	1	1	1	0	0	0	0
Vibrio sp. J2-26	Proteobacteria	Vibrionales	Vibrio	1507978	6014	1	1	1	1	0	0	0	0
Vibrio sp. J2-29	Proteobacteria	Vibrionales	Vibrio	1507979	7686	1	1	1	1	0	0	1	0
Vibrio sp. J2-6	Proteobacteria	Vibrionales	Vibrio	1507974	5933	1	1	1	1	0	0	0	0
Vibrio sp. J2-12	Proteobacteria	Vibrionales	Vibrio	1507975	7473	1	1	1	1	0	0	0	0
Vibrio sp. J2-15	Proteobacteria	Vibrionales	Vibrio	1507976	7675	1	1	1	1	0	0	0	0
Vibrio sp. J2-4	Proteobacteria	Vibrionales	Vibrio	1507977	7830	1	1	1	1	0	0	0	0
Vibrio sp. J2-1	Proteobacteria	Vibrionales	Vibrio	1507970	5506	1	1	1	1	0	0	0	0
Pseudoalteromonas distincta	Proteobacteria	Alteromonadales	Pseudoalteromonas	77608	3890	1	1	1	1	0	0	1	0
Vibrio sp. J2-8	Proteobacteria	Vibrionales	Vibrio	1507973	5396	1	1	1	1	0	0	0	0
Jeotgalibacillus sp. D5	Firmicutes	Bacillales	Jeotgalibacillus	1508404	8560	1	1	1	1	0	0	1	0
Pseudomonas avellanae	Proteobacteria	Pseudomonadales	Pseudomonas	46257	4603	1	1	1	1	0	0	0	0
Elizabethkingia genomosp. 1	Bacteroidetes	Flavobacteriales	Elizabethkingia	1756147	4169	1	1	1	1	1	0	0	0
Jeotgalibacillus alimentarius	Firmicutes	Bacillales	Jeotgalibacillus	135826	6828	0	1	0	0	0	1	1	0
Elizabethkingia genomosp. 3	Bacteroidetes	Flavobacteriales	Elizabethkingia	1756149	3988	1	1	1	1	1	0	0	0
Geobacillus sp. Sah69	Firmicutes	Bacillales	Geobacillus	1737624	2854	1	1	1	1	0	0	0	0
Deinococcus frigens	Deinococcus-Thermus	Deinococcales	Deinococcus	249403	3642	0	1	0	0	0	1	1	0
Paramesorhizobium deserti	Proteobacteria	Rhizobiales	Paramesorhizobium	1494590	4945	1	1	1	1	0	0	0	0
Bacillus altitudinis	Firmicutes	Bacillales	Bacillus	293387	16010	1	1	1	1	1	0	0	0
Bacillus stratosphericus	Firmicutes	Bacillales	Bacillus	293386	25975	1	1	1	1	1	0	0	0
Sphingomonas sp. STIS6.2	Proteobacteria	Sphingomonadales	Sphingomonas	1379700	2068	0	1	1	0	0	0	0	0
Sphingomonas sp. FUKUSWIS1	Proteobacteria	Sphingomonadales	Sphingomonas	1379701	2080	0	0	1	0	0	0	0	0
Pseudomonas sp. S9	Proteobacteria	Pseudomonadales	Pseudomonas	686578	4190	1	1	1	1	1	0	0	0
Deinococcus marmoris	Deinococcus-Thermus	Deinococcales	Deinococcus	249408	4216	0	1	0	0	0	1	1	0
Mesorhizobium sp. STM 4661	Proteobacteria	Rhizobiales	Mesorhizobium	1297570	12710	1	1	1	1	0	0	0	0
Roseomonas cervicalis	Proteobacteria	Rhodospirillales	Roseomonas	204525	3695	0	1	0	0	0	0	0	0
Commensalibacter intestini	Proteobacteria	Rhodospirillales	Commensalibacter	479936	2133	0	1	0	1	0	0	0	0
Sporolactobacillus inulinus	Firmicutes	Bacillales	Sporolactobacillus	2078	2530	0	0	0	0	0	0	0	0
Bacillus sp. SGD-V-76	Firmicutes	Bacillales	Bacillus	1414648	3902	1	1	1	1	0	0	1	0
Pseudonocardia autotrophica	Actinobacteria	Pseudonocardiales	Pseudonocardia	2074	7195	1	1	1	1	1	1	0	0
Bacillus cibi	Firmicutes	Bacillales	Bacillus	265729	6163	1	1	1	1	0	1	1	0
Vibrio halioticoli	Proteobacteria	Vibrionales	Vibrio	71388	3319	1	1	1	1	0	0	0	0
Propionibacterium acidifaciens	Actinobacteria	Propionibacteriales	Propionibacterium	556499	3577	1	1	1	1	0	0	0	0
Photobacterium halotolerans	Proteobacteria	Vibrionales	Photobacterium	265726	16059	1	1	1	1	1	0	1	0
Peptococcaceae bacterium 1109	Firmicutes	Clostridiales	root	1655638	2293	0	0	0	0	0	0	0	0
Flavobacterium branchiophilum	Bacteroidetes	Flavobacteriales	Flavobacterium	55197	2996	0	1	0	1	1	0	1	1
Proteiniphilum acetatigenes	Bacteroidetes	Bacteroidales	Proteiniphilum	294710	5312	1	1	1	1	0	0	0	0
Bacillus sp. J13	Firmicutes	Bacillales	Bacillus	935835	3891	1	1	1	1	1	0	0	0
Bacillus sp. J33	Firmicutes	Bacillales	Bacillus	935836	5017	1	1	1	1	0	0	1	0
Bacillus sp. J37	Firmicutes	Bacillales	Bacillus	935837	4829	1	1	1	1	0	1	0	0
Pseudovibrio sp. JE062	Proteobacteria	Rhodobacterales	Pseudovibrio	439495	8897	1	1	1	1	0	0	1	0
Ruegeria sp. R11	Proteobacteria	Rhodobacterales	Ruegeria	439497	4381	1	1	1	1	0	0	1	0
Rhodobacterales bacterium Y4I	Proteobacteria	Rhodobacterales	root	439496	6858	1	1	1	1	1	1	1	0
Enterovibrio calviensis	Proteobacteria	Vibrionales	Enterovibrio	91359	14348	1	1	1	1	0	0	0	0
