Species	Phylum	Order	Genus	TaxID	Num_Prot	B12_producer	niacin_synthesis	biotin_synthesis	anaerobic_synthesis	aerobic_synthesis	early_pathway	late_pathway	MCM_B12_related	METE_B12_related	METH_B12_related	RNR_I_B12_related	RNR_II_B12_related	bluB_B12_related	btuB_B12_transport	btuC_B12_transport	btuD_B12_transport	btuF_B12_transport	cbiZ_2_B12_related	cobA_aerobe_aerobic_synthesis	cobI_aerobic_synthesis	cobG_aerobic_synthesis	cobJ_aerobic_synthesis	cobM_aerobic_synthesis	cobF_aerobic_synthesis	cobK_aerobic_synthesis	cobL_aerobic_synthesis	cobH_aerobic_synthesis	cobB_aerobic_synthesis	cobN_aerobic_synthesis	cobS_aerobe_aerobic_synthesis	cobT_aerobe_aerobic_synthesis	cobR_aerobic_synthesis	cobO_aerobic_synthesis	cobQ_aerobic_synthesis	cobD_aerobic_synthesis	cobP_aerobic_synthesis	cobV_aerobic_synthesis	cobU_aerobe_aerobic_synthesis	cysG_anaerobic_synthesis	cbiXL_anaerobic_synthesis	cbiK_anaerobic_synthesis	cbiL_anaerobic_synthesis	cbiH_anaerobic_synthesis	cbiF_anaerobic_synthesis	cbiG_anaerobic_synthesis	cbiD_anaerobic_synthesis	cbiJ_anaerobic_synthesis	cbiE_anaerobic_synthesis	cbiT_anaerobic_synthesis	cbiC_anaerobic_synthesis	cbiA_anaerobic_synthesis	fldA_anaerobic_synthesis	cobA_anaerobe_anaerobic_synthesis	cbiP_anaerobic_synthesis	cbiB_anaerobic_synthesis	cobU_anaerobe_anaerobic_synthesis	cobS_anaerobe_anaerobic_synthesis	cobT_anaerobe_anaerobic_synthesis	cobC_anaerobic_synthesis	cblT_B12_related	cblS_B12_related	bzaA_anaerobic_DMB	bzaB_anaerobic_DMB	bzaC_anaerobic_DMB	bzaD_anaerobic_DMB	bzaE_anaerobic_DMB	B12_related	B12_transport	not_in
Deinococcus phoenicis	Deinococcus-Thermus	Deinococcales	Deinococcus	1476583	7079	1	0	0	16	14	1	0	1	0	1	0	1	0	0	1	1	1	0	1	1	0	1	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	0	0	1	1	0	0	0	5	3	"bioB,cobV,bluB,cobS_anaerobe,btuB,cobF,cobG,pabC,cobL,nrdA,nrdB,nrdD,nrdF,nrdG,kmo,had,cblS,bioD2,bioD1,bio1,bzaE,RNR_I,fldA,cobS_aerobe,bzaD,cbiT,cblT,cbiZ,nadX,cbiK,bzaC,METE,nadC,nadA,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Syntrophomonas zehnderi	Firmicutes	Clostridiales	Syntrophomonas	404335	2458	1	1	0	16	14	1	0	0	1	1	0	0	1	0	1	1	0	0	1	1	0	1	1	0	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	1	1	4	2	"RNR_II,cobR,cbiXL,btuF,btuB,cbiD,cobF,cobG,pabC,cobN,nrdA,nrdB,nrdE,nrdF,nrdG,kmo,had,cblS,bioD2,bioD1,bio1,bioF,RNR_I,fldA,cobS_aerobe,cblT,cbiZ,nadX,cbiK,bzaC,bzaB,bzaA,MCM,kynu,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt,nrdZ"
Mesorhizobium sp. F7	Proteobacteria	Rhizobiales	Mesorhizobium	1574409	8073	1	1	1	15	19	0	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	1	0	10	2	"bluB,cbiXL,btuF,btuB,cobF,pabC,cobC,nrdD,nrdG,had,cblS,bioD2,bzaE,fldA,cblT,cbiZ,nadX,cbiJ,cbiK,bzaC,bzaB,bzaA,cbiG,cbiZ_2,nrdJ_alt"
Verrucomicrobia bacterium SCGC AAA168-F10	Verrucomicrobia	root	root	1009423	4829	0	1	0	2	1	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	"RNR_II,cobV,cobP,cobQ,cobR,bluB,cbiXL,btuF,cobS_anaerobe,btuC,cobD,cbiD,cobF,cobG,cobB,cobC,cobL,cobM,cobN,cobO,cobH,cobI,cobJ,cobK,nrdA,nrdB,nrdD,nrdE,nrdF,nrdG,kmo,had,hpaB,cblS,bioD2,bioD1,bzaE,cobT_anaerobe,cobT_alt_dmb,RNR_I,fldA,cobA_anaerobe,cobS_aerobe,bzaD,cbiT,cblT,cbiP,cbiL,cbiZ,pabA,nadX,cbiH,cbiJ,cbiK,bzaC,bzaB,bzaA,cbiG,cbiA,cbiB,cbiC,kynu,METE,cobU_anaerobe,cobU_aerobe,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt,nrdZ"
Alishewanella aestuarii	Proteobacteria	Alteromonadales	Alishewanella	453835	2557	0	0	0	3	3	0	0	0	1	1	0	0	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	2	4	"RNR_II,cobV,cobP,cobQ,cobR,bluB,cbiXL,cobS_anaerobe,cobD,cbiD,cobF,cobG,cobB,cobC,cobL,cobN,cobH,cobI,cobJ,cobK,nrdA,nrdB,nrdD,nrdE,nrdF,nrdG,kmo,had,hpaB,cblS,bioD2,bioD1,bzaE,cobT_anaerobe,cobT_alt_dmb,RNR_I,fldA,cobS_aerobe,bzaD,cbiT,cblT,cbiP,cbiL,cbiZ,nadX,cbiH,cbiJ,cbiK,bzaC,cbiG,cbiA,cbiB,cbiC,MCM,kynu,nadA,cobU_anaerobe,cobU_aerobe,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt,nrdZ"
Bacillus sp. FJAT-27238	Firmicutes	Bacillales	Bacillus	1679167	5482	1	1	1	19	14	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	0	0	12	3	"cobR,btuB,cobF,cobG,cobN,nrdD,nrdG,kmo,cblS,bioD2,bzaE,fldA,cobS_aerobe,bzaD,cblT,cbiZ,nadX,cbiK,bzaC,cobT_aerobe,cbiZ_2"
Reyranella massiliensis	Proteobacteria	Rhodospirillales	Reyranella	445220	5511	1	1	0	14	20	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	1	0	0	0	10	4	"cbiXL,cbiD,pabC,cobC,nrdB,nrdD,nrdG,kmo,had,cblS,bioD2,bioD1,bzaE,fldA,bzaD,cblT,cbiZ,cbiJ,cbiK,bzaC,cbiG,kynu,cbiZ_2,nrdJ_alt"
Bacillus sp. GeD10	Firmicutes	Bacillales	Bacillus	1301086	8165	0	1	1	6	2	0	0	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	11	2	"cobV,cobP,cobQ,cobR,bluB,btuF,cobS_anaerobe,btuB,cobD,cbiD,cobF,cobG,cobB,cobL,cobN,cobO,cobH,cobI,cobJ,cobK,kmo,had,cblS,bzaE,cobT_anaerobe,cobT_alt_dmb,cobA_anaerobe,cobS_aerobe,bzaD,cbiT,cblT,cbiP,cbiL,cbiZ,nadX,cbiJ,cbiK,bzaC,cbiG,cbiA,cbiB,cbiC,MCM,cobU_anaerobe,cobU_aerobe,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Alkalibacillus haloalkaliphilus	Firmicutes	Bacillales	Alkalibacillus	94136	2767	0	1	0	0	0	0	0	1	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	"bioB,cobV,cobP,cobQ,cobR,bluB,cbiXL,cobS_anaerobe,btuB,cobD,cbiD,cobF,cobG,cobB,cobC,cobL,cobM,cobN,cobO,cobH,cobI,cobJ,cobK,nrdD,nrdG,kmo,had,cblS,bioD2,bioD1,bio1,bzaE,cobT_anaerobe,cobT_alt_dmb,fldA,cobA_anaerobe,cobS_aerobe,bzaD,METH,cobA_aerobe,cbiT,cysG,cblT,cbiP,cbiL,cbiZ,nadX,cbiH,cbiJ,cbiK,bzaC,bzaB,bzaA,cbiG,cbiA,cbiB,cbiC,METE,cbiF,cobU_anaerobe,cobU_aerobe,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Streptomyces sp. ACT-1	Actinobacteria	Streptomycetales	Streptomyces	1609288	10638	1	1	1	17	17	1	0	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	0	0	1	11	2	"cobV,btuF,cobS_anaerobe,btuB,pabC,nrdD,nrdF,nrdG,had,hpaB,cblS,bioD2,fldA,cobS_aerobe,bzaD,cblT,nadX,cbiK,bzaC,cbiG,cobT_aerobe,cbiZ_2,nrdJ_alt"
Streptomyces decoyicus	Actinobacteria	Streptomycetales	Streptomyces	249567	14809	1	1	1	15	15	1	0	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	1	0	1	1	1	0	1	1	1	0	1	0	1	0	1	1	0	1	1	1	1	0	1	1	0	0	1	1	0	1	0	10	2	"cobV,cobR,bluB,btuF,cobS_anaerobe,btuB,cobF,pabC,nrdD,nrdG,had,hpaB,cblS,bioD2,bzaE,fldA,cobS_aerobe,cbiT,cblT,cbiZ,nadX,cbiJ,cbiK,bzaC,cbiG,cobT_aerobe,cbiZ_2,nrdJ_alt"
Rhodococcus sp. EsD8	Actinobacteria	Corynebacteriales	Rhodococcus	1301088	8606	1	1	1	14	16	1	0	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	0	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	0	0	1	1	0	0	0	11	2	"cobV,cbiXL,btuF,cobS_anaerobe,btuB,cbiD,cobG,pabC,cobC,nrdD,nrdG,had,cblS,bioD2,bzaE,fldA,cobS_aerobe,bzaD,cblT,cbiZ,nadX,cbiK,bzaC,cbiG,kynu,cobT_aerobe,cbiZ_2,nrdJ_alt"
Cylindrospermopsis sp. CR12	Cyanobacteria	Nostocales	Cylindrospermopsis	1747196	5446	1	1	1	17	14	1	0	0	0	1	0	1	0	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0	1	1	0	1	1	3	2	"RNR_II,cobV,cobR,bluB,cbiXL,btuF,btuC,cobF,pabC,nrdA,nrdB,nrdD,nrdE,nrdF,kmo,had,hpaB,cblS,bioD2,bio1,cobT_anaerobe,cobT_alt_dmb,RNR_I,fldA,cobS_aerobe,cblT,cbiZ,nadX,cbiK,bzaC,MCM,kynu,METE,cobU_aerobe,cobT_aerobe,cbiZ_2,nrdZ"
Chryseobacterium sp. BLS98	Bacteroidetes	Flavobacteriales	Chryseobacterium	885586	7560	0	1	1	2	2	0	0	1	1	1	0	1	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	8	4	"cobV,cobP,cobQ,cobR,bluB,cbiXL,cobS_anaerobe,cobD,cbiD,cobF,cobG,pabC,cobB,cobC,cobL,cobN,cobO,cobH,cobI,cobJ,cobK,nrdB,nrdD,nrdF,nrdG,had,hpaB,cblS,bioD2,bzaE,cobT_anaerobe,cobT_alt_dmb,fldA,cobA_anaerobe,cobS_aerobe,bzaD,cbiT,cblT,cbiP,cbiL,cbiZ,nadX,cbiH,cbiJ,cbiK,bzaC,cbiG,cbiA,cbiB,cbiC,kynu,cobU_anaerobe,cobU_aerobe,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Clavibacter cf. michiganensis LMG 26808	Actinobacteria	Micrococcales	Clavibacter	1291006	5917	0	0	0	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	2	"bioB,cobV,cobP,cobQ,bluB,cbiXL,btuF,cobS_anaerobe,btuB,cobD,cbiD,cobF,cobG,pabC,cobB,cobL,cobM,cobN,cobO,cobH,cobI,cobJ,cobK,nrdD,nrdG,kmo,had,hpaB,cblS,bioD2,bioD1,bio1,bzaE,bioF,cobT_anaerobe,cobT_alt_dmb,fldA,cobA_anaerobe,cobS_aerobe,bzaD,cobA_aerobe,cbiT,cysG,cblT,cbiP,cbiL,cbiZ,nadX,cbiH,cbiJ,cbiK,bzaC,bzaB,bzaA,cbiG,cbiA,cbiB,cbiC,MCM,METE,nadC,cbiF,nadA,cobU_anaerobe,cobU_aerobe,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Desulfosporosinus acidiphilus	Firmicutes	Clostridiales	Desulfosporosinus	885581	4334	1	1	0	18	13	1	0	1	0	1	0	1	0	0	0	1	1	0	1	1	0	1	1	0	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	0	0	9	2	"bioB,cobQ,cobR,bluB,btuC,btuB,cobF,cobG,cobN,nrdB,nrdD,nrdF,nrdG,kmo,had,bioD2,bioD1,bio1,bzaE,fldA,cobS_aerobe,bzaD,cbiP,cbiZ,nadX,cbiK,bzaC,kynu,METE,cobT_aerobe,cbiZ_2,nrdJ_alt"
Nitrosomonas europaea	Proteobacteria	Nitrosomonadales	Nitrosomonas	915	5594	0	1	1	4	4	0	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	8	2	"cobV,cobP,cobQ,cobR,bluB,cbiXL,btuF,cobS_anaerobe,btuC,cobD,cbiD,cobF,cobG,pabC,cobB,cobC,cobL,cobH,cobI,cobJ,cobK,nrdD,nrdF,nrdG,kmo,had,hpaB,cblS,bzaE,cobT_anaerobe,cobT_alt_dmb,fldA,cobS_aerobe,bzaD,cbiT,cblT,cbiP,cbiL,cbiZ,nadX,cbiJ,cbiK,bzaC,cbiG,cbiA,cbiB,cbiC,MCM,kynu,cobU_anaerobe,cobU_aerobe,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Nitrosomonas eutropha	Proteobacteria	Nitrosomonadales	Nitrosomonas	916	2451	0	1	1	3	3	0	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	8	2	"cobV,cobP,cobQ,cobR,bluB,cbiXL,btuF,cobS_anaerobe,btuC,cobD,cbiD,cobF,cobG,pabC,cobB,cobC,cobL,cobN,cobH,cobI,cobJ,cobK,nrdD,nrdF,nrdG,kmo,had,hpaB,cblS,bzaE,cobT_anaerobe,cobT_alt_dmb,fldA,cobS_aerobe,bzaD,cbiT,cblT,cbiP,cbiL,cbiZ,nadX,cbiH,cbiJ,cbiK,bzaC,cbiG,cbiA,cbiB,cbiC,MCM,kynu,cobU_anaerobe,cobU_aerobe,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Nitrobacter winogradskyi	Proteobacteria	Rhizobiales	Nitrobacter	913	3012	0	1	1	3	4	0	0	1	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	9	3	"cobV,cobP,cobQ,bluB,cbiXL,btuF,cobS_anaerobe,cobD,cbiD,cobF,cobG,cobB,cobL,cobM,cobN,cobO,cobH,cobI,cobJ,cobK,nrdD,nrdF,nrdG,kmo,had,hpaB,cblS,bioD2,bzaE,cobT_anaerobe,cobT_alt_dmb,fldA,cobA_anaerobe,bzaD,cbiT,cblT,cbiP,cbiL,cbiZ,nadX,cbiH,cbiJ,cbiK,bzaC,cbiG,cbiA,cbiB,cbiC,kynu,cobU_anaerobe,cobU_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Nitrobacter hamburgensis	Proteobacteria	Rhizobiales	Nitrobacter	912	4363	0	1	1	2	5	0	0	1	1	1	1	1	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	9	3	"cobV,cobP,cobQ,bluB,cbiXL,btuF,cobS_anaerobe,cobD,cbiD,cobF,cobG,cobB,cobC,cobL,cobN,cobO,cobH,cobI,cobJ,cobK,nrdD,nrdF,nrdG,kmo,had,hpaB,cblS,bioD2,bzaE,cobT_anaerobe,cobT_alt_dmb,fldA,cobA_anaerobe,bzaD,cbiT,cblT,cbiP,cbiL,cbiZ,nadX,cbiH,cbiJ,cbiK,bzaC,cbiG,cbiA,cbiB,cbiC,kynu,cobU_anaerobe,cobU_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Streptacidiphilus neutrinimicus	Actinobacteria	Streptomycetales	Streptacidiphilus	105420	6758	1	1	0	12	16	1	0	1	0	0	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	0	1	0	1	0	0	0	0	0	1	1	0	1	1	1	0	1	1	1	0	0	1	1	0	0	0	8	3	"bioB,cobP,btuB,cbiD,pabC,cobJ,nrdD,nrdF,nrdG,had,hpaB,cblS,bioD2,bioD1,bzaE,fldA,cobS_aerobe,bzaD,METH,cbiT,cblT,cbiZ,nadX,cbiH,cbiJ,cbiK,bzaC,cbiG,METE,cobU_anaerobe,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Streptacidiphilus carbonis	Actinobacteria	Streptomycetales	Streptacidiphilus	105422	6816	0	1	0	12	14	0	0	1	0	1	1	1	0	0	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1	1	0	1	0	1	0	0	1	1	0	1	1	0	1	1	1	0	0	0	1	0	0	1	1	0	0	0	8	1	"bioB,cobV,cobP,bluB,btuF,cobS_anaerobe,btuC,btuB,cbiD,cobJ,nrdD,nrdF,nrdG,kmo,had,hpaB,cblS,bioD2,bioD1,bzaE,cobT_anaerobe,cobT_alt_dmb,fldA,cobS_aerobe,bzaD,cbiT,cblT,cbiZ,nadX,cbiH,cbiK,bzaC,cbiG,METE,cobU_anaerobe,cobU_aerobe,cobT_aerobe,cbiZ_2,nrdJ_alt"
Lampropedia cohaerens	Proteobacteria	Burkholderiales	Lampropedia	1610491	5178	0	0	0	4	4	0	0	0	1	1	1	1	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	9	4	"cobV,cobP,cobQ,bluB,cbiXL,cobS_anaerobe,cobD,cbiD,cobF,cobG,pabC,cobB,cobL,cobN,cobH,cobI,cobJ,cobK,nrdD,nrdG,had,hpaB,cblS,bioD2,bioD1,bio1,bzaE,bioF,cobT_anaerobe,cobT_alt_dmb,fldA,cobS_aerobe,bzaD,cbiT,cblT,cbiP,cbiL,cbiZ,nadX,cbiH,cbiJ,cbiK,bzaC,cbiG,cbiA,cbiB,cbiC,MCM,kynu,nadA,cobU_anaerobe,cobU_aerobe,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Hymenobacter sp. PAMC 26628	Bacteroidetes	Cytophagales	Hymenobacter	1484118	4376	0	0	0	9	8	0	0	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	8	3	"bioB,cobR,bluB,cbiXL,btuF,cbiD,cobF,cobG,pabC,cobL,cobN,cobO,cobH,cobI,cobJ,cobK,nrdD,nrdF,nrdG,hpaB,cblS,bioD2,bioD1,bio1,bzaE,fldA,cobA_anaerobe,cobS_aerobe,bzaD,cbiT,cblT,cbiL,cbiZ,nadX,cbiH,cbiJ,cbiK,bzaC,bzaB,bzaA,cbiG,cbiC,METE,nadA,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Streptacidiphilus albus	Actinobacteria	Streptomycetales	Streptacidiphilus	105425	8324	1	1	0	16	14	1	0	1	0	1	1	1	1	0	1	1	0	0	1	1	1	1	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	0	1	1	0	0	1	1	0	1	0	9	2	"bioB,cobV,cobP,btuF,cobS_anaerobe,btuB,cobF,pabC,cobH,nrdD,nrdF,nrdG,had,hpaB,cblS,bioD2,bioD1,bzaE,fldA,cobS_aerobe,cblT,cbiZ,nadX,cbiK,bzaC,cbiC,METE,cobU_anaerobe,cobT_aerobe,cbiZ_2,nrdJ_alt"
Bacillus sp. FJAT-28004	Firmicutes	Bacillales	Bacillus	1679165	6295	0	1	1	7	6	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	1	0	0	0	12	3	"cobQ,cobR,cbiXL,btuB,cbiD,cobF,cobG,cobB,cobL,cobN,cobO,cobH,cobI,cobJ,cobK,nrdD,nrdG,kmo,had,hpaB,cblS,bzaE,fldA,cobA_anaerobe,cobS_aerobe,bzaD,cbiT,cblT,cbiP,cbiL,nadX,cbiH,cbiJ,cbiK,bzaC,cbiG,cbiA,cbiC,MCM,kynu,cobT_aerobe,cbiE,nrdJ_alt"
Fermentimonas caenicola	Bacteroidetes	Bacteroidales	Fermentimonas	1562970	4707	0	1	0	1	0	0	0	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	"bioB,cobV,cobP,cobQ,cobR,bluB,cbiXL,btuF,cobS_anaerobe,cobD,cbiD,cobF,cobG,pabC,cobB,cobC,cobL,cobM,cobN,cobO,cobH,cobI,cobJ,cobK,nrdB,nrdD,nrdF,nrdG,kmo,had,hpaB,cblS,bioD2,bioD1,bio1,bzaE,cobT_anaerobe,cobT_alt_dmb,cobA_anaerobe,cobS_aerobe,bzaD,cobA_aerobe,cbiT,cysG,cblT,cbiP,cbiL,cbiZ,nadX,cbiH,cbiJ,cbiK,bzaC,bzaB,bzaA,cbiG,cbiA,cbiB,cbiC,kynu,METE,cbiF,cobU_anaerobe,cobU_aerobe,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Pseudomonas sp. TJI-51	Proteobacteria	Pseudomonadales	Pseudomonas	985010	5890	1	1	1	16	17	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	0	0	0	9	4	"cbiXL,cobS_anaerobe,cobN,nrdD,nrdF,nrdG,kmo,had,hpaB,cblS,bzaE,fldA,cobS_aerobe,bzaD,cblT,cbiZ,nadX,cbiK,bzaC,MCM,kynu,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Aeromonas bivalvium	Proteobacteria	Aeromonadales	Aeromonas	440079	3652	0	1	1	3	2	0	0	0	1	1	1	1	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	11	4	"cobV,cobP,cobQ,cobR,bluB,cbiXL,cobS_anaerobe,cobD,cbiD,cobF,cobG,cobB,cobC,cobL,cobN,cobO,cobH,cobI,cobJ,cobK,kmo,had,hpaB,cblS,bzaE,cobT_anaerobe,cobT_alt_dmb,cobA_anaerobe,cobS_aerobe,bzaD,cbiT,cblT,cbiP,cbiL,cbiZ,nadX,cbiH,cbiJ,cbiK,bzaC,cbiG,cbiA,cbiB,cbiC,MCM,kynu,cobU_anaerobe,cobU_aerobe,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Novosphingobium sp. P6W	Proteobacteria	Sphingomonadales	Novosphingobium	1609758	10552	1	1	1	12	19	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	1	1	1	1	0	1	0	0	0	1	1	0	0	0	11	3	"cobV,cbiXL,btuF,cobS_anaerobe,cbiD,pabC,cobC,nrdD,nrdG,had,hpaB,cblS,bioD2,bzaE,fldA,bzaD,cblT,cbiZ,nadX,cbiJ,cbiK,bzaC,cbiG,kynu,cbiE,cbiZ_2,nrdJ_alt"
Dorea formicigenerans CAG:28	Firmicutes	Clostridiales	Dorea	1263073	2460	1	1	0	19	13	1	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0	1	1	0	1	1	1	1	0	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	0	0	3	2	"RNR_II,cobP,cobR,bluB,cbiXL,btuF,btuB,cobF,cobG,pabC,pabB,cobN,nrdA,nrdB,nrdE,nrdF,kmo,had,hpaB,cblS,bioD2,bioD1,bio1,bzaE,bioF,RNR_I,fldA,cobS_aerobe,bzaD,cblT,cbiZ,pabA,nadX,bzaC,MCM,kynu,METE,pabAB,cobT_aerobe,cbiZ_2,nrdJ_alt,nrdZ"
